Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,PortLabel,Length_um,PeakIL_dB,PeakIL_at_1310_dB,IL_drop_vs_REF_dB,dIL_dV_dB_per_V,I_at_-1V_pA,I_at_-2V_pA
D23,20190531_072042,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,1310.0,IN_2/OUT_2,1500.0,-7.034461793211462,-7.034461793211462,-0.7066863052154941,-0.011822445667968468,-120.6398,-29.38358
D23,20190531_072042,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,1310.0,IN_3/OUT_3,2500.0,-7.464257919427082,-7.464257919427082,-1.136482431431114,-0.0010166640082408483,-118.2516,-33.783030000000004
D23,20190603_204847,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_1/OUT_1,500.0,-5.860527364575265,-5.860527364575265,-0.15824976142578961,-0.033214238095536426,-115.31869999999999,-95.20710000000001
D23,20190603_204847,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_2/OUT_2,1500.0,-6.336652094774884,-6.336652094774884,-0.6343744916254082,-0.0728198616331996,-94.62046,-71.61777
D23,20190603_204847,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_3/OUT_3,2500.0,-6.913431280667048,-6.913431280667048,-1.2111536775175722,-0.11742514808661458,-67.88879,-44.341429999999995
D23,20190603_204847,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_1/OUT_1,500.0,-6.247624715169328,-6.247624715169328,-0.05896635496207736,-0.024947897639170984,-112.5533,-92.65120999999999
D23,20190603_204847,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_2/OUT_2,1500.0,-6.844269542133032,-6.844269542133032,-0.6556111819257815,-0.045865823440226806,-94.87187,-73.50326
D23,20190603_204847,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_3/OUT_3,2500.0,-7.489360872579985,-7.489360872579985,-1.3007025123727338,-0.13059136376140612,-73.25188,-47.44196
D23,20190603_204847,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_1/OUT_1,500.0,-6.7528856316791614,-6.7528856316791614,-0.0238352550514227,-0.031729126368082713,-114.0617,-95.33277000000001
D23,20190603_204847,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_2/OUT_2,1500.0,-7.362302967996211,-7.362302967996211,-0.6332525913684721,-0.08634341943124361,-91.18475000000001,-70.36082
D23,20190603_204847,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_3/OUT_3,2500.0,-7.914061222076234,-7.914061222076234,-1.1850108454484953,-0.16073465302506867,-68.30781,-46.77161
D23,20190603_204847,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_1/OUT_1,500.0,-7.462632415270475,-7.462632415270475,-0.3809169579770195,-0.02616293414381758,-114.1874,-93.27974
D23,20190603_204847,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_2/OUT_2,1500.0,-8.017960432803964,-8.017960432803964,-0.9362449755105082,-0.08213969553595617,-92.52554,-71.91112
D23,20190603_204847,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_3/OUT_3,2500.0,-8.377936931571591,-8.377936931571591,-1.296221474278136,-0.1106172768178136,-73.62898,-48.866550000000004
D23,20190603_204847,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,1310.0,IN_1/OUT_1,500.0,-6.30036820305723,-6.30036820305723,-0.1733992102385784,-0.03460134386216268,-114.355,-91.05908000000001
D23,20190603_204847,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,1310.0,IN_2/OUT_2,1500.0,-6.806669645309435,-6.806669645309435,-0.6797006524907827,-0.08634337989770866,-93.27972000000001,-74.42506
D23,20190603_204847,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,1310.0,IN_3/OUT_3,2500.0,-7.346283493042152,-7.346283493042152,-1.2193145002234997,-0.1527859182441764,-65.08158,-47.651430000000005
D23,20190603_204847,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,1310.0,IN_1/OUT_1,500.0,-6.9210686245743105,-6.9210686245743105,-0.10174699710491364,-0.027079970172080012,-114.2293,-92.7769
D23,20190603_204847,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,1310.0,IN_2/OUT_2,1500.0,-7.461402470303586,-7.461402470303586,-0.6420808428341891,-0.08272143598482737,-93.11212,-74.04796999999999
D23,20190603_204847,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,1310.0,IN_3/OUT_3,2500.0,-8.022483475354239,-8.022483475354239,-1.203161847884842,-0.1452706765081204,-69.31336999999999,-45.38887
D23,20190603_204847,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,1310.0,IN_1/OUT_1,500.0,-7.2889851721207135,-7.2889851721207135,-0.02704587756119281,-0.026141487630558822,-111.045,-93.9501
